,Participant,Task,Cosine Error,Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit
2023-08-12 09:09:29,p28,calibration,4.0263130342939375,4.2231044094714525,2.7145652201183053,1.2791474525302644,
2023-08-12 09:34:07,p28,calibration,2.9843014129692524,3.15205486321254,2.462830356265076,0.8401514881177081,
2023-08-12 09:13:23,p28,screenStabilized_headConstrained,3.479180273539613,3.66259227314289,,,1.0156679119659213
2023-08-12 09:37:04,p28,screenStabilized_headConstrained,3.5906372823346735,3.7219929705627175,,,0.9407470377373043
2023-08-12 09:11:13,p28,screenStabilized_walking,4.153490385175687,6.367984890885157,,,
2023-08-12 09:35:14,p28,screenStabilized_walking,2.979104999581005,4.424029036023872,,,
2023-08-12 09:07:30,p28,worldStabilized_bodyConstrained,2.5590831049721667,2.938925051267921,,,
2023-08-12 09:32:13,p28,worldStabilized_bodyConstrained,1.8242577832739286,2.040926127258701,,,
2023-08-12 09:27:35,p28,worldStabilized_sphere,3.4872579949442306,4.746321044868823,,,
2023-08-12 09:38:56,p28,worldStabilized_sphere,3.8583111758187476,5.051005647663173,,,
2023-08-12 09:23:16,p28,worldStabilized_sphere_VR,4.0611679375446865,5.4466749908721015,,,
2023-08-12 09:45:09,p28,worldStabilized_sphere_VR,4.994285657007205,6.524798636861206,,,
2023-08-12 09:20:52,p28,worldStabilized_walking,4.757346108876528,7.229320755893576,,,
2023-08-12 09:43:15,p28,worldStabilized_walking,4.717598464296011,7.248679742477462,,,
