,Participant,Task,Cosine Error,Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit
2023-08-03 19:55:58,p06,calibration,2.807280136306615,2.959366494394542,3.378437510002641,1.1690989230462525,
2023-08-03 19:40:56,p06,screenStabilized_headConstrained,2.266805545392731,2.3783175002545742,,,0.8041195160294903
2023-08-03 20:03:59,p06,screenStabilized_headConstrained,4.732747691177631,4.867820300210463,,,0.7390834766063294
2023-08-03 19:29:07,p06,screenStabilized_walking,2.8959690190315794,4.471258183820031,,,
2023-08-03 19:53:48,p06,screenStabilized_walking,2.5834221708567773,4.378036456653685,,,
2023-08-03 19:20:12,p06,worldStabilized_bodyConstrained,1.3659263860833326,1.5257341491081642,,,
2023-08-03 19:46:09,p06,worldStabilized_bodyConstrained,2.0886694976593394,2.338422526053925,,,
2023-08-03 19:23:47,p06,worldStabilized_sphere,2.793940475048799,4.5864427719871115,,,
2023-08-03 19:49:17,p06,worldStabilized_sphere,3.000993148349041,4.950267254177601,,,
2023-08-03 19:34:54,p06,worldStabilized_sphere_VR,3.008602062058636,4.7410280802657105,,,
2023-08-03 19:58:54,p06,worldStabilized_sphere_VR,2.7365665838648763,4.347038481027732,,,
2023-08-03 19:17:19,p06,worldStabilized_walking,1.5601825529853255,2.706385901535357,,,
2023-08-03 19:43:33,p06,worldStabilized_walking,2.9337727613434796,4.234255630924455,,,
