,Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
2023-08-03 19:55:58,p06_incomplete,calibration,1,2.807280136306615,2.807280136306615,,2.959366494394542,2.959366494394542,,3.378437510002641,1.1690989230462525,,31.396010270019648,31.396010270019648,,8.925232306878716,3.2082997301887657,
2023-08-03 19:40:56,p06_incomplete,screenStabilized_headConstrained,1,2.266805545392731,3.1260567071254646,2.0082978243093526,2.3783175002545742,3.3214004845882603,2.094588779328568,,,0.8041195160294903,32.642190221198675,32.2720380725076,32.753551360611375,,,4.401133710169503
2023-08-03 20:03:59,p06_incomplete,screenStabilized_headConstrained,2,4.732747691177631,5.482672568587136,4.507303792301935,4.867820300210463,5.742253218188735,4.604946548088453,,,0.7390834766063294,30.24479741468551,29.62377697117843,30.43148980786145,,,5.013945154864365
2023-08-03 19:29:07,p06_incomplete,screenStabilized_walking,1,2.8959690190315794,4.095544937381308,2.5376433704595853,4.471258183820031,5.468156364543653,4.173474457334877,,,,22.271463056579247,23.083268458270776,22.028968444420357,,,
2023-08-03 19:53:48,p06_incomplete,screenStabilized_walking,2,2.5834221708567773,2.580451515579266,2.584314668856915,4.378036456653685,3.7932493642886262,4.553728774235348,,,,19.718042610726894,17.79709858422062,20.295167366672864,,,
2023-08-03 19:20:12,p06_incomplete,worldStabilized_bodyConstrained,1,1.3659263860833326,1.5732382957150108,1.3035371008223144,1.5257341491081642,1.7964847600861342,1.4442533642709074,,,,31.708702799052272,30.920274771185372,31.945975521230956,,,
2023-08-03 19:46:09,p06_incomplete,worldStabilized_bodyConstrained,2,2.0886694976593394,2.177006334942315,2.0621277382545,2.338422526053925,2.501301493301197,2.289483776447831,,,,31.5615966799373,30.371799046243286,31.919084263885914,,,
2023-08-03 19:23:47,p06_incomplete,worldStabilized_sphere,1,2.793940475048799,2.005847196988835,3.7294383757854614,4.5864427719871115,3.4548733830221883,5.929660405463756,,,,21.02469319041783,20.825539945100143,21.26109597179698,,,
2023-08-03 19:49:17,p06_incomplete,worldStabilized_sphere,2,3.000993148349041,2.3511395237372112,3.7714262934921186,4.950267254177601,4.027703975346877,6.044010985972007,,,,22.18930502948836,22.175337866392706,22.20586378208274,,,
2023-08-03 19:34:54,p06_incomplete,worldStabilized_sphere_VR,1,3.008602062058636,2.0120435454094343,4.188696806707696,4.7410280802657105,3.0341421121281016,6.763226083630529,,,,21.65405906571529,21.208516537984124,22.18190640104439,,,
2023-08-03 19:58:54,p06_incomplete,worldStabilized_sphere_VR,2,2.7365665838648763,1.8040633435759559,3.836205596559588,4.347038481027732,2.839888565129642,6.1243200752317355,,,,22.196628853982087,22.02744023358036,22.39614173443074,,,
2023-08-03 19:17:19,p06_incomplete,worldStabilized_walking,1,1.5601825529853255,1.4715522131039067,1.5869068121223984,2.706385901535357,1.7035984412627763,3.0087513441545157,,,,21.3411694562579,22.195412451033302,21.08359387673343,,,
2023-08-03 19:43:33,p06_incomplete,worldStabilized_walking,2,2.9337727613434796,2.9338511259729807,2.9337491923548873,4.234255630924455,5.206409717138173,3.9418700391962,,,,22.04110905236955,20.523135634616615,22.497655563124926,,,
