,Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
2023-08-10 14:20:18,p19,calibration,1,1.3337719121073417,1.3337719121073417,,1.3950910073845872,1.3950910073845872,,3.2815781606371934,0.3070074244971093,,3.077034507171518,3.077034507171518,,2.8803634864830645,0.2695101760515261,
2023-08-10 14:40:59,p19,calibration,2,1.7136237369467884,1.7136237369467884,,1.7906350647388356,1.7906350647388356,,3.1664191966712822,0.378760396734667,,3.1612771421248755,3.1612771421248755,,2.7679339991173233,0.33203576855303757,
2023-08-10 14:09:26,p19,screenStabilized_headConstrained,1,1.667065009433967,1.8029614008955481,1.6263902465392308,1.7165350629711065,1.867994339452025,1.671202217169889,,,0.5308781498299894,2.8177598436425573,4.057081809496583,2.446821906518581,,,0.4661609570048806
2023-08-10 14:31:35,p19,screenStabilized_headConstrained,2,1.459672175985736,1.6522006510205638,1.4020736294379206,1.502897817909955,1.7158872618290133,1.4391779842721204,,,0.48048231305360795,3.0194876647307454,4.227506347830721,2.658085953443218,,,0.42181601286340675
2023-08-10 14:23:45,p19,screenStabilized_walking,1,2.46599638452452,2.72093026308254,2.3898281926856653,3.9533991209269748,3.701814100181788,4.028566753539367,,,,15.766140788264153,14.19296604043547,16.236168062263303,,,
2023-08-10 14:43:54,p19,screenStabilized_walking,2,2.671328008733512,2.860060010687075,2.6148044327552826,4.111109913610014,4.256082373912395,4.0676919357905,,,,16.351864264901796,15.065278909545318,16.73718527211425,,,
2023-08-10 14:18:12,p19,worldStabilized_bodyConstrained,1,1.7378820237113743,1.8343994087567355,1.7090003494978465,2.016408156809032,2.200184026671876,1.9614154236429633,,,,5.500514747381965,6.728509825205376,5.133051893339217,,,
2023-08-10 14:39:12,p19,worldStabilized_bodyConstrained,2,2.154359839936713,2.258471396462748,2.1232369254165806,2.4739664815814404,2.8041515229781,2.3752615811639255,,,,5.19510146078013,6.37898470241683,4.841193612691597,,,
2023-08-10 14:26:32,p19,worldStabilized_sphere,1,2.6794541313129945,1.7151573475509134,3.8237370885584805,3.635844783370586,2.103691193659945,5.453975124683583,,,,16.412716179444786,16.244619243105674,16.612188440119134,,,
2023-08-10 14:46:05,p19,worldStabilized_sphere,2,2.7199260736718336,2.106049960636539,3.4483136924079436,3.6768831026765105,2.713050578446101,4.820507463157592,,,,16.60528736789243,16.500234160790566,16.72993703862676,,,
2023-08-10 14:12:57,p19,worldStabilized_sphere_VR,1,2.790492018019943,1.722774709982873,4.063250020217596,3.8390902659851585,2.197327317291827,5.7961316241538166,,,,16.26238233391662,15.973800088331938,16.60638290372598,,,
2023-08-10 14:34:30,p19,worldStabilized_sphere_VR,2,2.99088943476063,2.2440891266327436,3.879780067001344,4.029905414700404,2.7947628366999275,5.500052996479733,,,,16.394810961902962,16.347615655426036,16.45098590633788,,,
2023-08-10 14:21:52,p19,worldStabilized_walking,1,1.9172777063839346,1.4760709128008118,2.0493340584586983,3.2566359564014413,2.434474337714384,3.502714815020015,,,,18.29369883437822,18.43343844030763,18.25187376987833,,,
2023-08-10 14:42:18,p19,worldStabilized_walking,2,1.7483261400877073,1.4479288818947684,1.8383203256212373,2.971161003964832,2.2180687127294707,3.1967753380935946,,,,18.225459168598697,16.36957272586839,18.781452887918732,,,
