,Date,Frame,Movement,Camera_Left Eye Position_x,Camera_Left Eye Position_y,Camera_Left Eye Position_z,Camera_Left Eye Rotation_x,Camera_Left Eye Rotation_y,Camera_Left Eye Rotation_z,Camera_Left Eye Rotation_w,Camera_Right Eye Position_x,Camera_Right Eye Position_y,Camera_Right Eye Position_z,Camera_Right Eye Rotation_x,Camera_Right Eye Rotation_y,Camera_Right Eye Rotation_z,Camera_Right Eye Rotation_w,Camera_Center Eye Position_x,Camera_Center Eye Position_y,Camera_Center Eye Position_z,Camera_Center Eye Rotation_x,Camera_Center Eye Rotation_y,Camera_Center Eye Rotation_z,Camera_Center Eye Rotation_w,Gaze_Left Eye Position_x,Gaze_Left Eye Position_y,Gaze_Left Eye Position_z,Gaze_Left Eye Rotation_x,Gaze_Left Eye Rotation_y,Gaze_Left Eye Rotation_z,Gaze_Left Eye Rotation_w,Gaze_Left Euler Angles_x,Gaze_Left Euler Angles_y,Gaze_Left Euler Angles_z,Gaze_Left Forward Vector_x,Gaze_Left Forward Vector_y,Gaze_Left Forward Vector_z,Gaze_Left Right Vector_x,Gaze_Left Right Vector_y,Gaze_Left Right Vector_z,Gaze_Left Up Vector_x,Gaze_Left Up Vector_y,Gaze_Left Up Vector_z,Gaze_Left Tracking Mode,Gaze_Left Confidence Value,Gaze_Right Eye Position_x,Gaze_Right Eye Position_y,Gaze_Right Eye Position_z,Gaze_Right Eye Rotation_x,Gaze_Right Eye Rotation_y,Gaze_Right Eye Rotation_z,Gaze_Right Eye Rotation_w,Gaze_Right Euler Angles_x,Gaze_Right Euler Angles_y,Gaze_Right Euler Angles_z,Gaze_Right Forward Vector_x,Gaze_Right Forward Vector_y,Gaze_Right Forward Vector_z,Gaze_Right Right Vector_x,Gaze_Right Right Vector_y,Gaze_Right Right Vector_z,Gaze_Right Up Vector_x,Gaze_Right Up Vector_y,Gaze_Right Up Vector_z,Gaze_Right Tracking Mode,Gaze_Right Confidence Value,Ball Position_x,Ball Position_y,Ball Position_z,Ball Rotation_x,Ball Rotation_y,Ball Rotation_z,Ball Rotation_w,Gaze Point_x,Gaze Point_y,Gaze Point_z,Debug_Intersection,Debug_Divergence,Expected Gaze_x,Expected Gaze_y,Expected Gaze_z,Actual Gaze_x,Actual Gaze_y,Actual Gaze_z,Cosine Similarity,Actual Gaze Visual Angle_x,Actual Gaze Visual Angle_y,Expected Gaze Visual Angle_x,Expected Gaze Visual Angle_y,Euclidean Error
0,08/11/2023 16:45:25.924189,0,start,0.5,1.26,-0.05,-0.01306,-0.99242,-0.0951,-0.07668,0.44,1.26,-0.06,-0.01306,-0.99242,-0.0951,-0.07668,0.47,1.26,-0.06,-0.01306,-0.99242,-0.0951,-0.07668,0.5,1.26,-0.05,-0.02956,0.96791,0.13732,0.20836,343.85,155.7,0.0,0.4,0.28,-0.88,-0.91,0.0,-0.41,-0.11,0.96,0.25,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.0314,0.96456,0.13487,0.22459,344.08,153.79,0.0,0.42,0.27,-0.86,-0.9,0.0,-0.44,-0.12,0.96,0.25,TrackingSpace,0.9980469,0.67,1.49,-1.27,-0.01392,-0.99236,-0.09534,-0.07705,1.3305701013514182,1.8374514358108556,-1.881727195946088,1.0,0.0,-0.20000000000000007,-0.22999999999999998,1.21,-0.8605701013514182,-0.5774514358108556,1.826727195946088,16.304486246885425,-0.44026099623299825,-0.3061726456392753,-0.16380819564380097,-0.18784171041228362,17.22959077634391
1,08/11/2023 16:45:25.938046,1,start,0.5,1.26,-0.05,-0.01198,-0.99251,-0.09469,-0.07632,0.44,1.26,-0.06,-0.01198,-0.99251,-0.09469,-0.07632,0.47,1.26,-0.06,-0.01198,-0.99251,-0.09469,-0.07632,0.5,1.26,-0.05,-0.02956,0.96791,0.13732,0.20836,343.85,155.7,0.0,0.4,0.28,-0.88,-0.91,0.0,-0.41,-0.11,0.96,0.25,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.0314,0.96456,0.13487,0.22459,344.08,153.79,0.0,0.42,0.27,-0.86,-0.9,0.0,-0.44,-0.12,0.96,0.25,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.01296,-0.99245,-0.09486,-0.07666,1.3305701013514182,1.8374514358108556,-1.881727195946088,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.8605701013514182,-0.5774514358108556,1.826727195946088,16.724464757643805,-0.44026099623299825,-0.3061726456392753,-0.15575298075129237,-0.18784171041228362,17.65482041251912
2,08/11/2023 16:45:25.952340,2,start,0.5,1.26,-0.05,-0.01152,-0.99252,-0.09483,-0.076,0.44,1.26,-0.06,-0.01152,-0.99252,-0.09483,-0.076,0.47,1.26,-0.06,-0.01152,-0.99252,-0.09483,-0.076,0.5,1.26,-0.05,-0.02902,0.96947,0.14246,0.19746,343.28,156.97,0.0,0.37,0.29,-0.88,-0.92,0.0,-0.39,-0.11,0.96,0.26,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.03108,0.96614,0.13997,0.21453,343.51,154.96,0.0,0.41,0.28,-0.87,-0.91,0.0,-0.42,-0.12,0.96,0.26,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.01196,-0.99251,-0.09467,-0.07629,1.0036138341628225,1.6500386620354144,-1.2524395800482533,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.5336138341628225,-0.3900386620354144,1.1974395800482533,15.816870968993086,-0.4192130815104754,-0.3148895013978213,-0.15575298075129237,-0.18784171041228362,16.758635087327885
3,08/11/2023 16:45:25.966585,3,start,0.5,1.26,-0.05,-0.01224,-0.99254,-0.09462,-0.07593,0.44,1.26,-0.06,-0.01224,-0.99254,-0.09462,-0.07593,0.47,1.26,-0.06,-0.01224,-0.99254,-0.09462,-0.07593,0.5,1.26,-0.05,-0.02902,0.96947,0.14246,0.19746,343.28,156.97,0.0,0.37,0.29,-0.88,-0.92,0.0,-0.39,-0.11,0.96,0.26,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.03108,0.96614,0.13997,0.21453,343.51,154.96,0.0,0.41,0.28,-0.87,-0.91,0.0,-0.42,-0.12,0.96,0.26,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.01158,-0.99252,-0.09483,-0.07603,1.0036138341628225,1.6500386620354144,-1.2524395800482533,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.5336138341628225,-0.3900386620354144,1.1974395800482533,15.816870968993086,-0.4192130815104754,-0.3148895013978213,-0.15575298075129237,-0.18784171041228362,16.758635087327885
4,08/11/2023 16:45:25.980751,4,start,0.5,1.26,-0.05,-0.01382,-0.99261,-0.0936,-0.07594,0.44,1.26,-0.06,-0.01382,-0.99261,-0.0936,-0.07594,0.47,1.26,-0.06,-0.01382,-0.99261,-0.0936,-0.07594,0.5,1.26,-0.05,-0.02872,0.9698,0.14183,0.19634,343.36,157.11,0.0,0.37,0.29,-0.88,-0.92,0.0,-0.39,-0.11,0.96,0.26,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.03079,0.96646,0.1394,0.21347,343.59,155.09,0.0,0.4,0.28,-0.87,-0.91,0.0,-0.42,-0.12,0.96,0.26,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.01241,-0.99254,-0.09455,-0.07597,1.135145078477482,1.7524969394652858,-1.5669769226550199,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.6651450784774819,-0.49249693946528583,1.51197692265502,15.582624163374074,-0.41443773756123636,-0.3148924338084793,-0.15575298075129237,-0.18784171041228362,16.512688359172262
5,08/11/2023 16:45:25.994818,5,start,0.5,1.26,-0.05,-0.015,-0.99269,-0.09266,-0.07587,0.44,1.26,-0.06,-0.015,-0.99269,-0.09266,-0.07587,0.47,1.26,-0.06,-0.015,-0.99269,-0.09266,-0.07587,0.5,1.26,-0.05,-0.02872,0.9698,0.14183,0.19634,343.36,157.11,0.0,0.37,0.29,-0.88,-0.92,0.0,-0.39,-0.11,0.96,0.26,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.03079,0.96646,0.1394,0.21347,343.59,155.09,0.0,0.4,0.28,-0.87,-0.91,0.0,-0.42,-0.12,0.96,0.26,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.01387,-0.99262,-0.09355,-0.07594,1.135145078477482,1.7524969394652858,-1.5669769226550199,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.6651450784774819,-0.49249693946528583,1.51197692265502,15.582624163374074,-0.41443773756123636,-0.3148924338084793,-0.15575298075129237,-0.18784171041228362,16.512688359172262
6,08/11/2023 16:45:26.009544,6,start,0.5,1.26,-0.05,-0.01582,-0.99268,-0.09277,-0.07571,0.44,1.26,-0.06,-0.01582,-0.99268,-0.09277,-0.07571,0.47,1.26,-0.06,-0.01582,-0.99268,-0.09277,-0.07571,0.5,1.26,-0.05,-0.02872,0.9698,0.14183,0.19634,343.36,157.11,0.0,0.37,0.29,-0.88,-0.92,0.0,-0.39,-0.11,0.96,0.26,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.03079,0.96646,0.1394,0.21347,343.59,155.09,0.0,0.4,0.28,-0.87,-0.91,0.0,-0.42,-0.12,0.96,0.26,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.015,-0.99269,-0.09268,-0.07588,1.135145078477482,1.7524969394652858,-1.5669769226550199,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.6651450784774819,-0.49249693946528583,1.51197692265502,15.582624163374074,-0.41443773756123636,-0.3148924338084793,-0.15575298075129237,-0.18784171041228362,16.512688359172262
7,08/11/2023 16:45:26.023588,7,start,0.5,1.26,-0.05,-0.01634,-0.99258,-0.09399,-0.07541,0.44,1.26,-0.06,-0.01634,-0.99258,-0.09399,-0.07541,0.47,1.26,-0.06,-0.01634,-0.99258,-0.09399,-0.07541,0.5,1.26,-0.05,-0.02854,0.97013,0.14262,0.19413,343.27,157.37,0.0,0.37,0.29,-0.88,-0.92,0.0,-0.38,-0.11,0.96,0.27,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.03087,0.96644,0.13988,0.21326,343.53,155.11,0.0,0.4,0.28,-0.87,-0.91,0.0,-0.42,-0.12,0.96,0.26,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.01576,-0.99267,-0.09295,-0.07565,1.135145078477482,1.7524969394652858,-1.5669769226550199,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.6651450784774819,-0.49249693946528583,1.51197692265502,15.582624163374074,-0.41443773756123636,-0.3148924338084793,-0.15575298075129237,-0.18784171041228362,16.512688359172262
8,08/11/2023 16:45:26.037529,8,start,0.5,1.26,-0.05,-0.0172,-0.99241,-0.09592,-0.07497,0.44,1.26,-0.06,-0.0172,-0.99241,-0.09592,-0.07497,0.47,1.26,-0.06,-0.0172,-0.99241,-0.09592,-0.07497,0.5,1.26,-0.05,-0.02854,0.97013,0.14262,0.19413,343.27,157.37,0.0,0.37,0.29,-0.88,-0.92,0.0,-0.38,-0.11,0.96,0.27,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.03087,0.96644,0.13988,0.21326,343.53,155.11,0.0,0.4,0.28,-0.87,-0.91,0.0,-0.42,-0.12,0.96,0.26,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.01632,-0.99256,-0.09417,-0.07538,1.135145078477482,1.7524969394652858,-1.5669769226550199,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.6651450784774819,-0.49249693946528583,1.51197692265502,15.582624163374074,-0.41443773756123636,-0.3148924338084793,-0.15575298075129237,-0.18784171041228362,16.512688359172262
9,08/11/2023 16:45:26.051981,9,start,0.5,1.26,-0.05,-0.018,-0.99227,-0.09746,-0.0747,0.44,1.26,-0.06,-0.018,-0.99227,-0.09746,-0.0747,0.47,1.26,-0.06,-0.018,-0.99227,-0.09746,-0.0747,0.5,1.26,-0.05,-0.02689,0.9714,0.135,0.19346,344.18,157.47,0.0,0.37,0.27,-0.89,-0.92,0.0,-0.38,-0.1,0.96,0.25,TrackingSpace,0.9980469,0.44,1.26,-0.06,-0.02875,0.96827,0.13269,0.20982,344.39,155.55,0.0,0.4,0.27,-0.88,-0.91,0.0,-0.41,-0.11,0.96,0.24,TrackingSpace,0.9980469,0.66,1.49,-1.27,-0.01726,-0.99241,-0.09601,-0.07493,1.191923204220253,1.7663319158324389,-1.714666369124872,1.0,0.0,-0.19000000000000006,-0.22999999999999998,1.21,-0.721923204220253,-0.5063319158324389,1.659666369124872,15.048405667796203,-0.41029411176485775,-0.29611130028368,-0.15575298075129237,-0.18784171041228362,15.848626932786381
