,Participant,Task,Cosine Error,Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit
2023-08-04 12:51:14,p10,calibration,2.217877549056674,2.3102960364576877,3.104466579588641,0.7732256006569416,
2023-08-04 13:17:33,p10,calibration,1.8055655280063598,1.8951008738003023,3.1107961022665362,0.5127801820975793,
2023-08-04 12:49:10,p10,screenStabilized_headConstrained,2.6463921773439374,2.73575475169878,,,0.6248770293583901
2023-08-04 13:15:49,p10,screenStabilized_headConstrained,2.2504823955933473,2.3467292375829536,,,0.7064922595937051
2023-08-04 12:33:48,p10,screenStabilized_walking,8.522511677320365,15.680174477386863,,,
2023-08-04 13:04:31,p10,screenStabilized_walking,5.6815921841291575,8.916896757146025,,,
2023-08-04 12:56:49,p10,worldStabilized_bodyConstrained,1.7378221770611548,1.9205289356040796,,,
2023-08-04 13:18:49,p10,worldStabilized_bodyConstrained,2.0488278910903945,2.2842513817590864,,,
2023-08-04 12:27:40,p10,worldStabilized_sphere,2.9501812355111516,4.005239475615185,,,
2023-08-04 12:59:33,p10,worldStabilized_sphere,3.710717104083376,5.1156544819417205,,,
2023-08-04 12:38:41,p10,worldStabilized_sphere_VR,4.4092505154281225,5.823108998162744,,,
2023-08-04 13:07:20,p10,worldStabilized_sphere_VR,4.006622624717915,5.219313856618416,,,
2023-08-04 12:45:47,p10,worldStabilized_walking,5.309472623675417,7.833860940714361,,,
2023-08-04 13:13:04,p10,worldStabilized_walking,4.341249680725687,6.143721223483475,,,
