,Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
2023-08-12 11:46:46,p29,calibration,1,2.3243208184009405,2.3243208184009405,,2.4368144482560465,2.4368144482560465,,3.3227634128479746,0.2975624101792201,,2.8212914855571487,2.8212914855571487,,3.197749030396419,0.2756797257409981,
2023-08-12 12:04:27,p29,calibration,2,3.4597672851236263,3.4597672851236263,,3.6089689288935296,3.6089689288935296,,3.208950103710618,0.45944314245704826,,3.7719243908702844,3.7719243908702844,,2.9603129445155747,0.4230741639902748,
2023-08-12 11:25:41,p29,screenStabilized_headConstrained,1,2.664207605190729,2.9403461449244586,2.581595521281469,2.707293013727926,2.980773271274264,2.625476205376113,,,0.4052989505352536,2.012913392245073,2.1878569117789692,1.9605757188111095,,,0.37861257047077806
2023-08-12 11:50:37,p29,screenStabilized_headConstrained,2,2.500709212250344,3.140140077765181,2.3094113355866255,2.5660582132851313,3.2473283641683195,2.3622433205001334,,,0.3920390415655625,2.4383160683974476,3.00399603519042,2.2690821725147847,,,0.36590153686540083
2023-08-12 11:23:14,p29,screenStabilized_walking,1,3.0842965226539887,3.2960127413103764,3.0209575985130197,5.053211852000624,6.255401424708783,4.693554029694582,,,,12.67341455589044,16.194957103645798,11.619878281215703,,,
2023-08-12 11:48:48,p29,screenStabilized_walking,2,2.9849488546220617,2.938731645504968,2.99875427211918,4.5327055996781285,4.10856240123025,4.6594002669891985,,,,11.520787571921046,10.995660601560374,11.67764682853386,,,
2023-08-12 11:32:47,p29,worldStabilized_bodyConstrained,1,2.977460836382404,3.2919042509325416,2.883389122334163,3.516041834294296,4.141525635740547,3.3289164864932017,,,,4.7301289480880895,5.610829809161615,4.466650574138115,,,
2023-08-12 11:54:07,p29,worldStabilized_bodyConstrained,2,1.6311318208162855,1.659955017393267,1.6225088146381308,1.8790203422659608,2.030122736098144,1.8338151939726761,,,,3.5472583929270565,3.9799681594897494,3.4178050555620403,,,
2023-08-12 11:40:54,p29,worldStabilized_sphere,1,2.152794225272285,1.4084419703985125,3.0362012969906087,3.0291383422756764,1.8619937259824122,4.414320963810538,,,,10.890770168990864,9.969697174982816,11.983911744297119,,,
2023-08-12 12:00:04,p29,worldStabilized_sphere,2,2.9620635785684817,2.5374071847516904,3.4659821670284576,3.9102488704683505,3.228359563092783,4.719412943497455,,,,11.816804191428348,11.439974183547593,12.263969590149646,,,
2023-08-12 11:35:52,p29,worldStabilized_sphere_VR,1,2.6506733194793064,1.7176556464010404,3.762058233231569,3.7002936210614212,2.234762120626239,5.445994315924626,,,,11.642658455303764,10.777808986379396,12.67284328477008,,,
2023-08-12 11:56:09,p29,worldStabilized_sphere_VR,2,2.66289713103908,2.034190898440404,3.410795947828413,3.519624446164872,2.5767738695392426,4.641224319213327,,,,11.80494594882381,11.331007870551547,12.368735059846507,,,
2023-08-12 11:30:19,p29,worldStabilized_walking,1,2.8175659876622765,2.954966114794713,2.7764601324536815,4.295348163300353,4.615669047248433,4.199518092756331,,,,12.80535770319505,14.300619699983361,12.358021704155886,,,
2023-08-12 11:52:29,p29,worldStabilized_walking,2,2.9245934925522374,3.2776761267156176,2.818962122774827,4.582040123619877,4.412775320396844,4.632678901315411,,,,12.651778935225064,11.863390674367565,12.887640243182432,,,
