Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
p05,screenStabilized_walking,1.5,2.617584596399679,3.0420149750037364,2.490670714227245,4.1404010316155375,4.639770439932932,3.991720533674818,,,,36.94278104321558,32.156172950198055,38.37581887174778,,,
p05,worldStabilized_bodyConstrained,1.5,1.5975869414317092,1.3671510648496654,1.6668348090706118,2.76762932250925,1.6009567031908314,3.118149090760529,,,,20.221888847790808,22.70392107641114,19.476234398483953,,,
p05,worldStabilized_sphere,1.5,2.5086247034635054,1.8473239276507414,3.294068539414205,3.278545163591885,2.312679591012388,4.425747362953308,,,,37.43614292056576,37.30638958461054,37.58977868389854,,,
p05,worldStabilized_sphere_VR,1.5,2.6573923740202874,1.8809195293585552,3.575699082081556,3.5415262620607812,2.43434479986513,4.85105026510427,,,,35.983268775737585,35.61967207418044,36.413643719559076,,,
p05,worldStabilized_walking,1.5,2.257968816405151,1.9207391126917468,2.3590553253080397,3.3542539133507727,2.502219590432622,3.6097337648993153,,,,41.46049271856381,38.27293642131559,42.41662976425026,,,
p06_incomplete,calibration,1.0,2.807280136306615,2.807280136306615,,2.959366494394542,2.959366494394542,,3.378437510002641,1.1690989230462523,,31.396010270019648,31.396010270019648,,8.925232306878716,3.2082997301887657,
p06_incomplete,screenStabilized_headConstrained,1.5,3.499776618285181,4.304364637856301,3.257800808305644,3.6230689002325187,4.531826851388498,3.3497676637085103,,,0.7716014963179099,31.44349381794209,30.947907521843014,31.59252058423641,,,4.707539432516935
p06_incomplete,screenStabilized_walking,1.5,2.7396955949441786,3.3379982264802868,2.5609790196582503,4.424647320236858,4.630702864416139,4.363601615785113,,,,20.99475283365307,20.4401835212457,21.162067905546614,,,
p06_incomplete,worldStabilized_bodyConstrained,1.5,1.7272979418713361,1.875122315328663,1.6828324195384072,1.9320783375810446,2.1488931266936655,1.8668685703593693,,,,31.635149739494786,30.64603690871433,31.93252989255844,,,
p06_incomplete,worldStabilized_sphere,1.5,2.89746681169892,2.1784933603630234,3.75043233463879,4.768355013082356,3.7412886791845326,5.986835695717882,,,,21.606999109953094,21.50043890574642,21.73347987693986,,,
p06_incomplete,worldStabilized_sphere_VR,1.5,2.872584322961756,1.9080534444926953,4.012451201633642,4.544033280646722,2.9370153386288718,6.443773079431132,,,,21.92534395984869,21.617978385782244,22.289024067737564,,,
p06_incomplete,worldStabilized_walking,1.5,2.246977657164403,2.2027016695384436,2.260328002238643,3.4703207662299063,3.4550040792004744,3.475310691675358,,,,21.691139254313725,21.359274042824957,21.79062471992918,,,
p07,calibration,1.5,1.6763059375343454,1.6763059375343454,,1.7466297433486921,1.7466297433486921,,3.5285709114589547,0.7167779704390724,,3.0455000914168853,3.0455000914168853,,3.026360681271198,0.6110067515590245,
p07,screenStabilized_headConstrained,1.5,2.0485956278971265,1.8403315742955164,2.110901771356888,2.1226574029059826,1.9503397590470257,2.1742094958056146,,,0.8407194728668699,2.808668909472907,3.6731578948380097,2.550040625762572,,,0.7146153341718118
p07,screenStabilized_walking,1.5,3.3092297447944468,3.249914415390071,3.326943794303972,5.7076273481477315,4.2250589077867495,6.150261137970656,,,,20.417278688414527,18.451955283396256,21.002761895230044,,,
p07,worldStabilized_bodyConstrained,1.5,1.9411731013953302,1.9960531068939433,1.9247547063985153,2.197566465467708,2.367755017614356,2.1466513307534756,,,,5.53043354937844,6.914084500953653,5.116488112342088,,,
p07,worldStabilized_sphere,1.5,3.3441889462145893,3.044967625092604,3.699363226427855,4.2277329031360695,3.5379891486378137,5.046439527266225,,,,18.95766322635464,18.989959122719128,18.91932526390419,,,
p07,worldStabilized_sphere_VR,1.5,3.5038434008246426,3.0594583642586057,4.032050245028816,4.390733319897507,3.5466114804324484,5.3940196171391595,,,,19.02652978247859,19.06220772342271,18.98413940198897,,,
p07,worldStabilized_walking,1.5,4.315867233669625,4.240883597975305,4.338353770039008,6.148904054771352,6.12678643915621,6.155718645732563,,,,20.93995947017325,20.30378257808821,21.130595489644463,,,
p08,calibration,1.5,1.6966850760296415,1.6966850760296415,,1.820587776665072,1.820587776665072,,2.486393667901275,0.5211647731679799,,2.4964961279118425,2.4964961279118425,,2.3782512800182936,0.4948507526632071,
p08,screenStabilized_headConstrained,1.5,2.139763829935241,2.028601040580981,2.1730202876921947,2.225460831757578,2.153075932353805,2.247116147922696,,,0.8041759849434618,2.6075168822219466,2.8765632360269056,2.5270265603079975,,,0.7610337897050534
p08,screenStabilized_walking,1.5,2.92911826208578,3.607974573516734,2.7260478387146776,4.401326582270782,4.916188741896953,4.247066603335208,,,,9.208744415794328,9.229982146795434,9.202367118590214,,,
p08,worldStabilized_bodyConstrained,1.5,1.8379930671177163,1.3766583239534889,1.9760101093939948,2.0116709053504143,1.5604836625258411,2.1466521303505637,,,,3.2459670153802387,3.206324172893698,3.2578269239357693,,,
p08,worldStabilized_sphere,1.5,3.29981820185258,2.513559312609841,4.233038060428353,4.585867628884969,3.2468730197251174,6.175132904869162,,,,10.053576491100749,9.285979801348972,10.964660850681774,,,
p08,worldStabilized_sphere_VR,1.5,3.495200820127639,2.5540845775988243,4.6123704361827595,4.85512407084491,3.214150634578737,6.803095807208891,,,,9.931330515142356,9.03675118046717,10.993425392355658,,,
p08,worldStabilized_walking,1.5,6.952487168119301,6.121229634896336,7.201290479742697,10.973904159832815,10.295277202209373,11.17711021152533,,,,15.349032415074799,14.680377771213944,15.549182822782566,,,
p09,calibration,1.5,1.645288178273443,1.645288178273443,,1.729990733827095,1.729990733827095,,2.845934231939225,0.5857530229958328,,2.542566889358796,2.542566889358796,,2.6957651562423166,0.555538453329186,
