Participant,calibration
p01_incomplete,0.6338692133068526
p02,0.3986909141719188
p03,0.2867869023391041
p04,0.4053510182717678
p05,0.9346788498286425
p06,1.1690989230462523
p07,0.7167779704390724
p08,0.5211647731679799
p09,0.5857530229958328
p10,0.6430028913772604
p11,0.4707363362657778
p12,1.6649189126662647
p13,1.610611122988682
p14_incomplete,1.1801587693108444
p15,0.5560126944465397
p16,0.4405238122030772
p17,0.7449750953482661
p18_repeat,0.4435239522247311
p19,0.3428839106158882
p20,0.3236280206445442
p21_incomplete,0.6274090190373016
p22,0.5530897518614248
p23,0.38465293529029143
p24_incomplete,0.43585628933785103
p25,1.2685739789486858
p26,0.36276707357969074
p27,0.4479868232900266
p28,1.0596494703239863
p29,0.3785027763181341
p30_incomplete,0.8666436578843161
p31,0.790396032780136
p32,0.4984161756295462
p33,0.7405336786498806
