,Frame,Movement,Gaze Point_x,Gaze Point_y,Gaze Point_z,Ball Position_x,Ball Position_y,Ball Position_z,Cosine Similarity,Euclidean Error
0,227,static,0.12660876798400372,1.1315076778018371,-0.3838975027682823,103.33,84.26,117.66,174.20905197180616,177.47013251585287
1,228,static,0.12660876798400372,1.1315076778018371,-0.3838975027682823,103.26,84.31,117.68,174.21632504986852,177.46617104551004
2,229,static,0.12660876798400372,1.1315076778018371,-0.3838975027682823,103.2,84.34,117.72,174.22183474048649,177.4719915365406
3,230,static,0.12660876798400372,1.1315076778018371,-0.3838975027682823,103.14,84.36,117.76,174.22670273507134,177.47315634904115
4,231,static,0.29060521884932056,1.2645423145309742,-0.20347361716236112,103.09,84.37,117.79,0.27511456606875556,177.19111851536505
5,232,static,0.29060521884932056,1.2645423145309742,-0.20347361716236112,103.03,84.42,117.81,0.26841055489812143,177.19309619188226
6,233,static,0.29060521884932056,1.2645423145309742,-0.20347361716236112,102.97,84.49,117.81,0.260512064291408,177.19118170712633
7,234,static,0.2904399483924506,1.2647641661619313,-0.2028906144173095,102.95,84.55,117.79,0.319000172017211,177.19406878739903
8,235,static,0.2904399483924506,1.2647641661619313,-0.2028906144173095,102.89,84.63,117.78,0.3105049257066805,177.19027836241025
9,236,static,0.28927434170201155,1.2687621533929572,-0.20426272491025366,102.85,84.68,117.77,0.30495713264387597,177.18370046972734
10,237,static,0.28927434170201155,1.2687621533929572,-0.20426272491025366,102.82,84.75,117.76,0.2988108731502094,177.19264673414241
11,238,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.77,84.82,117.75,0.34140311741474516,176.79272054683105
12,239,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.71,84.9,117.75,0.3328676028716069,176.7957643915846
13,240,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.67,84.96,117.74,0.32679301291752555,176.79431685426286
14,241,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.64,84.99,117.74,0.32316494239485766,176.79115553336467
15,242,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.64,85.0,117.74,0.3225258586402909,176.79588034282045
16,243,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.64,84.98,117.75,0.3237628107978362,176.79308794418756
17,244,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.66,84.96,117.74,0.32622284937017426,176.7885387731547
18,245,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.68,84.96,117.74,0.32736313953154983,176.80009531214557
19,246,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.68,84.96,117.73,0.3274045117088466,176.7934393607249
20,247,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.71,84.97,117.7,0.3285996730471076,176.79553676337915
21,248,static,0.5134790866134886,1.4634314724432886,0.05993052788701146,102.77,84.97,117.65,0.33222680216872424,176.79696687164557
22,249,static,0.2594278432940236,1.2431046372176695,-0.23908354987007796,102.84,84.94,117.6,0.28641536941477364,177.2399325469262
23,250,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.88,84.91,117.59,176.34974971734184,177.7205980097268
24,251,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.92,84.91,117.55,176.3473040495584,177.71717422334368
25,252,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.94,84.91,117.54,176.34612315468993,177.72211371098473
26,253,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.96,84.9,117.52,176.34426040040873,177.71569093959695
27,254,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.98,84.89,117.51,176.3424395424983,177.7159161973083
28,255,static,0.39448727233698916,1.3641526014863448,-0.08268229837388613,103.01,84.87,117.51,0.5167080174843515,177.00623981157082
29,256,static,0.39448727233698916,1.3641526014863448,-0.08268229837388613,103.04,84.85,117.5,0.519738264310452,177.00755683148975
30,257,static,0.39448727233698916,1.3641526014863448,-0.08268229837388613,103.05,84.82,117.51,0.5221860348960412,177.0058521306843
31,258,static,0.1626687125108913,1.156095122453251,-0.34987440237670764,103.04,84.82,117.51,176.7793031712861,177.41010192866412
32,259,static,0.1626687125108913,1.156095122453251,-0.34987440237670764,103.01,84.83,117.54,176.78177783107435,177.41735652698537
33,260,static,0.1802552620683417,1.172670119031093,-0.3303276170964744,102.98,84.83,117.56,176.54730105761627,177.38225871451604
34,261,static,0.1802552620683417,1.172670119031093,-0.3303276170964744,102.95,84.85,117.57,176.55033145745705,177.38095507051145
35,262,static,0.1626687125108913,1.156095122453251,-0.34987440237670764,102.92,84.87,117.58,176.7896308072585,177.4106599946409
36,263,static,0.1626687125108913,1.156095122453251,-0.34987440237670764,102.9,84.88,117.59,176.79145172839787,177.41044349774955
37,264,static,0.1626687125108913,1.156095122453251,-0.34987440237670764,102.86,84.91,117.61,176.79573331531742,177.414741227537
38,265,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.81,84.95,117.63,176.3564632141033,177.72556998309082
39,266,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.79,84.97,117.63,176.35888192904753,177.72344816284507
40,267,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.79,84.95,117.64,176.3576444699106,177.7206502853414
41,268,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.82,84.91,117.64,176.35337667318612,177.71911661937114
42,269,static,-0.011186052662920332,1.0037870233106032,-0.5529736104592081,102.84,84.88,117.65,176.3503599324013,177.72317954083917
