,Frame,Movement,Gaze Point_x,Gaze Point_y,Gaze Point_z,Ball Position_x,Ball Position_y,Ball Position_z,Cosine Similarity,Euclidean Error
0,227,static,-0.12408830726970799,1.1108785657184839,-0.53042097819043,129.1,84.0,87.78,0.024282371878418942,130.72968947931264
1,228,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,129.06,84.02,87.81,170.1883546836919,130.73831832263957
2,229,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,129.03,84.05,87.83,170.19196614949712,130.74210337382854
3,230,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,128.99,84.1,87.84,170.19746819448287,130.740160244253
4,231,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,128.96,84.16,87.82,170.2031580734813,130.72609139781062
5,232,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,128.95,84.19,87.82,170.20578365406487,130.72168946071798
6,233,static,-0.12408830726970799,1.1108785657184839,-0.53042097819043,128.95,84.21,87.8,0.046494292500706136,130.71285202528998
7,234,static,-0.12408830726970799,1.1108785657184839,-0.53042097819043,128.96,84.19,87.8,0.044586163819344646,130.71546808773275
8,235,static,0.21564825151487105,1.3251333413308566,-0.3016358828988047,128.97,84.17,87.8,0.10200452808742845,130.7184566195186
9,236,static,0.21564825151487105,1.3251333413308566,-0.3016358828988047,128.96,84.17,87.83,0.10253271705130582,130.7288614565403
10,237,static,-0.12408830726970799,1.1108785657184839,-0.53042097819043,128.95,84.18,87.81,0.04436093137260549,130.72138444134166
11,238,static,-0.12408830726970799,1.1108785657184839,-0.53042097819043,128.95,84.21,87.79,0.04647632288010623,130.70972011126574
12,239,static,-0.12408830726970799,1.1108785657184839,-0.53042097819043,128.97,84.21,87.77,0.04549274894593596,130.70148710597945
13,240,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,128.97,84.19,87.78,170.2047638038597,130.7072460534105
14,241,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,128.98,84.16,87.8,170.20217416491275,130.71789002314287
15,242,static,0.4335546972230229,1.4674700833745298,-0.15946819569268791,128.98,84.14,87.81,0.03791109872352444,130.72860656666157
16,243,static,0.4335546972230229,1.4674700833745298,-0.15946819569268791,128.95,84.14,87.86,0.039423911260385566,130.74729115775622
17,244,static,0.4335546972230229,1.4674700833745298,-0.15946819569268791,128.91,84.18,87.88,0.04422563239699192,130.75029861426464
18,245,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,128.87,84.2,87.92,170.21047647791502,130.75893382771326
19,246,static,-0.590648277862204,0.8110209717873482,-0.846234257378015,128.84,84.22,87.94,170.21337024678314,130.7645286450026
20,247,static,-0.4357857225226027,0.9142958334517568,-0.7403362880303086,128.82,84.23,87.96,169.73408612275165,130.7716703179852
21,248,static,-0.4357857225226027,0.9142958334517568,-0.7403362880303086,128.81,84.24,87.97,169.73529584550292,130.77397960372588
22,249,static,-0.4357857225226027,0.9142958334517568,-0.7403362880303086,128.8,84.24,87.99,169.7358076861156,130.78120284805973
23,250,static,-0.4357857225226027,0.9142958334517568,-0.7403362880303086,128.78,84.27,87.99,169.73890635649852,130.77778932019754
24,251,static,-0.4357857225226027,0.9142958334517568,-0.7403362880303086,128.75,84.3,88.0,169.74249811546235,130.7784827363697
25,252,static,-0.31307712579104885,0.9903356622291037,-0.6580124303926747,128.73,84.35,87.99,170.0012633688824,130.76840779356624
26,253,static,-0.31307712579104885,0.9903356622291037,-0.6580124303926747,128.71,84.38,87.98,170.00434231893837,130.761878001278
27,254,static,-0.1787782574000094,1.0761975603041036,-0.5661764755208494,128.7,84.4,87.98,0.023733076995675256,130.75924148958535
28,255,static,-0.1787782574000094,1.0761975603041036,-0.5661764755208494,128.69,84.45,87.95,0.0277306500638121,130.74187985411155
29,256,static,-0.1787782574000094,1.0761975603041036,-0.5661764755208494,128.67,84.49,87.94,0.03152374847352635,130.73355686269056
30,257,static,-1.180654788362741,0.44410794157964273,-1.2592733018283193,128.64,84.54,87.94,169.74723775583033,130.73206562953092
31,258,static,-1.180654788362741,0.44410794157964273,-1.2592733018283193,128.61,84.56,87.96,169.7501294563208,130.73766036019674
32,259,static,-0.4357857225226027,0.9142958334517568,-0.7403362880303086,128.6,84.59,87.95,169.7702787827473,130.72576541572266
33,260,static,-0.4357857225226027,0.9142958334517568,-0.7403362880303086,128.59,84.58,87.98,169.7700937888162,130.7379027854092
34,261,static,0.25153877209175163,1.3444585269690985,-0.27420080912018935,128.57,84.59,88.0,0.21542643723578966,130.74361069047552
35,262,static,0.25153877209175163,1.3444585269690985,-0.27420080912018935,128.55,84.58,88.03,0.21571807129210524,130.7568015921983
36,263,static,0.25153877209175163,1.3444585269690985,-0.27420080912018935,128.53,84.59,88.05,0.21742059938686423,130.76326392636764
37,264,static,-0.13405422535814276,1.1031323534065112,-0.5357629089373491,128.52,84.59,88.06,0.2195099910799491,130.7677450728779
38,265,static,-0.13405422535814276,1.1031323534065112,-0.5357629089373491,128.52,84.58,88.08,0.2188323848551392,130.7757865692103
39,266,static,-0.13291766724100557,1.106984220316878,-0.5315161736439317,128.53,84.57,88.07,0.21627785093089916,130.77293636069834
40,267,static,-0.13291766724100557,1.106984220316878,-0.5315161736439317,128.54,84.56,88.06,0.21506921713706978,130.77061119082862
41,268,static,-0.13291766724100557,1.106984220316878,-0.5315161736439317,128.55,84.57,88.04,0.21527115401994318,130.76157752035067
42,269,static,-0.13291766724100557,1.106984220316878,-0.5315161736439317,128.53,84.58,88.06,0.21697383653197905,130.76801980522762
