Participant,calibration
p03,0.2618960941385984
p04,0.35204788267427833
p05,1.407620648676897
p06_incomplete,3.2082997301887657
p07,0.6110067515590245
p08,0.4948507526632071
p09,0.555538453329186
p10,0.5491589124487026
p11,0.41990847076413906
p12,1.4368981712186235
p13,1.53230284812411
p14_incomplete,1.0356167724816625
p15,0.4814771870266431
p16,0.3942011023670428
p17,0.6360800333258837
p18_repeat,0.39393597927251095
p19,0.30077297230228184
p20,0.3017488080642071
p21_incomplete,0.5690845302219433
p22,0.5297177413973997
p23,0.3411189153882128
p24_incomplete,0.42716269907747745
p25,1.0637419309984764
p26,0.3195284089035998
p27,0.40776521565697554
p28,1.0621393450107646
p29,0.3493769448656364
p30_incomplete,0.755157439752313
p31,0.7626424167403579
p32,0.41965604686566105
p33,0.6429586245475922
