Participant,screenStabilized_headConstrained
p03,0.34223903327640226
p04,0.3328057529107925
p05,4.056555213878493
p06_incomplete,4.707539432516935
p07,0.7146153341718118
p08,0.7610337897050534
p09,0.6362837182452601
p10,0.56930454970968
p11,0.5578561502348626
p12,1.26623372968634
p13,1.8384634842389733
p14_incomplete,0.968492609041232
p15,0.5858306196819767
p16,0.6097249243538957
p17,0.906637861418147
p18_repeat,0.45520418169831856
p19,0.44398848493414367
p20,0.38946618748091966
p21_incomplete,0.46106800885219545
p22,0.5804901877436646
p23,0.39711679688718166
p24_incomplete,0.4079029544750938
p25,0.8427042567244143
p26,0.3517992587012696
p27,0.49087133408521366
p28,0.9832838987775658
p29,0.37225705366808937
p30_incomplete,0.642197398475834
p31,1.223132652355699
p32,0.35639174568748044
p33,0.7405391585912922
