,Participant,Task,Cosine Error,Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit
2023-08-03 11:20:24,p04,calibration,1.3137260278471967,1.3582805749969002,3.1487964741188907,0.36751848815554716,
2023-08-03 11:45:11,p04,calibration,1.7699969481153859,1.833450183450695,3.235024418194542,0.4431835483879884,
2023-08-03 11:30:17,p04,screenStabilized_headConstrained,1.1063691451818625,1.146345773317121,,,0.36989155793527745
2023-08-03 11:55:24,p04,screenStabilized_headConstrained,1.4786610211436637,1.535398213147111,,,0.3951394598674786
2023-08-03 11:32:57,p04,screenStabilized_walking,4.485567192986758,7.886490173846178,,,
2023-08-03 11:57:37,p04,screenStabilized_walking,12.375995946381652,24.150273671841237,,,
2023-08-03 11:28:04,p04,worldStabilized_bodyConstrained,1.660847055914075,1.8729046159695921,,,
2023-08-03 11:53:14,p04,worldStabilized_bodyConstrained,1.339584403804844,1.5827871279244625,,,
2023-08-03 11:22:17,p04,worldStabilized_sphere,2.5855803128989634,4.289270224913645,,,
2023-08-03 11:47:46,p04,worldStabilized_sphere,2.3499399557844023,3.600373223627712,,,
2023-08-03 11:11:15,p04,worldStabilized_sphere_VR,3.595694262637713,4.774192342945469,,,
2023-08-03 11:36:54,p04,worldStabilized_sphere_VR,9.180990186062367,13.616012347925578,,,
2023-08-03 11:17:50,p04,worldStabilized_walking,4.318365571956762,9.23926742399893,,,
2023-08-03 11:42:53,p04,worldStabilized_walking,4.931454756009476,8.198318944980215,,,
